INFO:root:K: 1, Steps: 100, PSNR: 44.51252058003487, MSE: 9640927.142315261
INFO:root:K: 1, Steps: 150, PSNR: 44.51252058003487, MSE: 9640927.142315261
INFO:root:K: 1, Steps: 200, PSNR: 44.51252058003487, MSE: 9640927.142315261
INFO:root:K: 2, Steps: 5, PSNR: 38.876797242304015, MSE: 26633583.717082202
INFO:root:K: 2, Steps: 10, PSNR: 38.80911828595227, MSE: 26674431.90016834
INFO:root:K: 2, Steps: 50, PSNR: 38.80777275686926, MSE: 26676439.35725509
INFO:root:K: 2, Steps: 100, PSNR: 38.80777275686926, MSE: 26676439.35725509
INFO:root:K: 2, Steps: 150, PSNR: 38.80777275686926, MSE: 26676439.35725509
INFO:root:K: 2, Steps: 200, PSNR: 38.80777275686926, MSE: 26676439.35725509
INFO:root:K: 3, Steps: 5, PSNR: 35.65155628071767, MSE: 35676092.08878133
INFO:root:K: 3, Steps: 10, PSNR: 35.40914527932272, MSE: 35839733.89776074
INFO:root:K: 3, Steps: 50, PSNR: 35.38788937331524, MSE: 35859030.156388886
INFO:root:K: 3, Steps: 100, PSNR: 35.38788937331524, MSE: 35859030.156388886
INFO:root:K: 3, Steps: 150, PSNR: 35.38788937331524, MSE: 35859030.156388886
INFO:root:K: 3, Steps: 200, PSNR: 35.38788937331524, MSE: 35859030.156388886
INFO:root:K: 10, Steps: 5, PSNR: 29.010965097229015, MSE: 48630984.6943584
INFO:root:K: 10, Steps: 10, PSNR: 28.6047836797554, MSE: 44120423.491685115
INFO:root:K: 10, Steps: 50, PSNR: 27.96907750522433, MSE: 34172885.238704056
INFO:root:K: 10, Steps: 100, PSNR: 28.066834029433835, MSE: 17420570.50818264
INFO:root:K: 10, Steps: 150, PSNR: 27.86066653180069, MSE: 18989761.49360014
INFO:root:K: 10, Steps: 200, PSNR: 27.90101803320139, MSE: 22054070.29263788
INFO:root:best_K: 0.01, best_steps: 5, best_psnr: 45.28787822290565, best_mse: 1851868.0532753882
INFO:root:K: 0.01, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.01, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.01, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.01, Steps: 100, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.01, Steps: 150, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.01, Steps: 200, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.02, Steps: 5, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.02, Steps: 10, PSNR: 45.50507769171028, MSE: 183864.4766061913
INFO:root:K: 0.02, Steps: 50, PSNR: 45.50507769171028, MSE: 183864.4766061913
